data_date,alert_window,alert_date,sector,symbol,variety,risk_level,risk_score,risk_types,origins,trigger_reason,market_reflection,market_summary,source_url
2026-07-13,今日,2026-07-13,农副软商,CJ,红枣,high,9.0,持续少雨/干旱,新疆阿拉尔,持续少雨/干旱：连续少雨 14天，可能影响作物生长、坐果或单产,明显反映,期货或期权出现多点可解释变化，天气风险已被盘面较明显关注。,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,农副软商,SR,白糖,high,4.5,高温、连续降雨、持续少雨/干旱,广西来宾,近7日累计降雨偏高：累计 86.6mm，近期阶段性降雨偏多，可能影响采收、田间作业和运输,部分反映,盘面已有局部线索，但仍需成交/持仓、期限结构或期权风险溢价继续确认。,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,农副软商,CF,棉花,high,3.375,高温、持续少雨/干旱,新疆昌吉、新疆石河子,高温达到 39.0℃，超过 38.0℃ 阈值；持续少雨/干旱：连续少雨 14天，可能影响作物生长、坐果或单产；高温达到 39.7℃，超过 38.0℃ 阈值,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,农副软商,LH,生猪,high,1.5,高温,四川绵阳、河南南阳,高温达到 39.8℃，超过 35.0℃ 阈值；高温达到 38.4℃，超过 35.0℃ 阈值,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,农副软商,JD,鸡蛋,high,1.5,高温,河南驻马店、河南周口、河北邯郸、河北石家庄,高温达到 37.7℃，超过 32.0℃ 阈值；高温达到 38.1℃，超过 32.0℃ 阈值,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,未来,2026-07-14,农副软商,CJ,红枣,high,9.0,持续少雨/干旱,新疆阿拉尔,持续少雨/干旱：连续少雨 20天，可能影响作物生长、坐果或单产,近期快照,未来预警仅描述天气风险，不预测价格方向。,https://eye.qhkch.com/?view=overview
2026-07-13,未来,2026-07-14,农副软商,JD,鸡蛋,high,7.5,高温,山东德州、河北石家庄、河北邯郸等5个产区,高温达到 37.5℃，超过 32.0℃ 阈值,近期快照,未来预警仅描述天气风险，不预测价格方向。,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,油脂油料,PK,花生,high,2.25,高温、强降雨、连续降雨,河南南阳,高温达到 38.4℃，超过 36.0℃ 阈值,明显反映,期货或期权出现多点可解释变化，天气风险已被盘面较明显关注。,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,油脂油料,Y,豆油,high,0.4995,持续少雨/干旱,-,查看风险类型与产地明细,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,油脂油料,OI,菜籽油,medium,0.333,高温、持续少雨/干旱,-,查看风险类型与产地明细,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,谷物饲料,C,玉米,high,6.0,连续降雨,内蒙古通辽、吉林长春、吉林四平,近7日累计降雨偏高：累计 80.8mm，近期阶段性降雨偏多，可能影响采收、田间作业和运输；近7日累计降雨偏高：累计 98.8mm，近期阶段性降雨偏多，可能影响采收、田间作业和运输,未明显反映,天气风险较强，但盘面证据尚未同步，属于后续验证优先级较高的分歧场景。,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,谷物饲料,RM,菜籽粕,high,1.5,高温、持续少雨/干旱,-,查看风险类型与产地明细,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,谷物饲料,B,黄大豆2号,high,0.75,持续少雨/干旱,-,查看风险类型与产地明细,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,今日,2026-07-13,谷物饲料,M,豆粕,high,0.4995,持续少雨/干旱,-,查看风险类型与产地明细,待验证,,https://eye.qhkch.com/?view=overview
2026-07-13,未来,2026-07-14,谷物饲料,C,玉米,high,7.5,强降雨、连续降雨,吉林四平、吉林长春2个产区,单日降雨 82.0mm，超过 35.0mm 阈值；近7日累计降雨偏高：累计 206.1mm，近期阶段性降雨偏多，可能影响采收、田间作业和运输,近期快照,未来预警仅描述天气风险，不预测价格方向。,https://eye.qhkch.com/?view=overview
